TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20090101,-8.063,1,120.89,38.94,1,262.234,1,0.44,1,98.61,1,0,1,4.839,1,0.505625,1,15.18595833,1,84.6855,1,71.07804167,1,7.817291667,1,278.0282917,1,395.078,1,1.16,1,10.92,1,-9999,1,2.09383,-9999,-9999,-9999,-9999,0.587101,-4.72702,-9999,-9999,-9999,-9999,2.63206,0.708681,1,0.119577,0.709861,0.711375,0.733521,1,1,1,0.579635,0.586505,0.600485,0.632821,-0.106824,-0.159105,-0.112095,-0.0785973,0.592877,0.590583,0.592877,0.661104,0,0,0,0,-9999,-9999
20090102,-4.769,1,121.511,34.008,1,262.546,1,0.334,1,97.67,1,0,1,4.027,1,0.56375,1,-2.945125,1,73.999125,1,47.63666667,1,8.365666667,1,290.693875,1,395.609,1,1.187,1,10.749,1,-9999,1,-0.198875,-9999,-9999,-9999,-9999,0.570763,-8.94078,-9999,-9999,-9999,-9999,2.74603,0.671359,1,0.112186,0.664799,0.667596,0.675203,1,1,1,0.713446,0.660588,0.700522,0.720836,-0.00730597,-0.0145802,0.00228965,0.0580011,0.659047,0.656497,0.659047,0.734888,0,0,0,0,-9999,-9999
20090103,-8.203,1,122.189,70.45,1,226.492,1,0.302,1,99.225,1,0,1,3.455,1,0.384958333,1,8.676416667,1,146.3090417,1,86.47829167,1,12.94983333,1,274.6307083,1,395.904,1,1.127,1,10.607,1,-9999,1,1.67646,-9999,-9999,-9999,-9999,0.588641,5.62372,-9999,-9999,-9999,-9999,5.0735,0.735168,1,0.100735,0.733419,0.737137,0.751836,1,1,1,0.573826,0.580681,0.595582,0.63002,-0.130786,-0.157325,-0.13735,-0.109755,0.655929,0.653324,0.655929,0.780864,0,0,0,0,-9999,-9999
20090104,-3.731,1,122.927,12.03,1,296.208,1,0.339,1,98.572,1,0,1,3.66,1,0.495458333,1,7.703166667,1,27.04954167,1,25.94525,1,2.408,1,297.6700417,1,395.061,1,1.29,1,10.482,1,-9999,1,1.17131,-9999,-9999,-9999,-9999,0.416764,-16.4421,-9999,-9999,-9999,-9999,2.15872,0.478217,1,0.115137,0.556101,0.557144,0.585323,1,1,1,0.758687,0.683523,0.721622,0.765026,0.102435,0.0959137,0.165602,0.209991,0.904454,0.898551,0.904454,1.17748,0,0,0,0,-9999,-9999
20090105,-8.527,1,123.723,41.6,1,254.283,1,0.412,1,98.606,1,0,1,4.492,1,0.670166667,1,9.529208333,1,91.925375,1,67.02358333,1,9.046708333,1,276.5010833,1,395.881,1,1.09,1,10.378,1,-9999,1,2.60241,-9999,-9999,-9999,-9999,0.520019,6.39429,-9999,-9999,-9999,-9999,3.20967,1.13402,1,0.131921,1.13402,1.13402,1.13558,1,1,1,0.58891,0.591643,0.611821,0.652098,-0.519961,-0.545113,-0.523758,-0.481926,0.839619,0.834922,0.839619,1.05494,0.00663508,0.00643934,0.00663508,0.0079529,-9999,-9999
20090106,-5.571,1,124.578,85.634,1,210.237,1,0.573,0.958333,97.953,1,0,1,2.644,1,0.225083333,1,-1.20675,1,174.7287083,1,68.76491667,1,15.94920833,1,280.6646667,1,400.874,1,1.136,1,10.281,1,-9999,1,2.51741,-9999,-9999,-9999,-9999,0.541235,8.00175,-9999,-9999,-9999,-9999,4.78896,0.816694,0.958333,0.111999,0.80451,0.821023,0.823592,0.958333,0.958333,0.958333,0.75749,0.697824,0.756454,0.761954,-0.100395,-0.101823,-0.082881,-0.0633733,0.92285,0.92285,0.929735,0.995888,0.0391988,0.0380468,0.0391988,0.0469865,-9999,-9999
20090107,-4.603,1,125.49,33.97,1,278.413,1,0.337,1,96.382,1,0,1,4.182,1,0.58575,1,11.42008333,1,81.239625,1,64.83641667,1,7.414875,1,293.319,1,396.69,1,1.173,1,10.195,1,-9999,1,0.2027,-9999,-9999,-9999,-9999,0.452527,-1.35586,-9999,-9999,-9999,-9999,2.50236,0.57717,1,0.111272,0.57717,0.578964,0.596881,1,1,1,0.834108,0.740328,0.802826,0.834108,0.17007,0.166309,0.1784,0.224786,0.932566,0.915592,0.93031,0.932566,0.025623,0.025623,0.0261023,0.0304388,-9999,-9999
20090108,-7.57,1,126.461,84.805,1,206.013,1,0.302,1,97.451,1,0,1,3.479,1,0.426291667,1,-3.104958333,1,188.4479583,1,64.38733333,1,17.08633333,1,276.05775,1,394.555,1,1.063,1,10.124,1,-9999,1,2.396,-9999,-9999,-9999,-9999,0.530108,15.6522,-9999,-9999,-9999,-9999,5.54848,0.683588,1,0.112966,0.674531,0.68279,0.685989,1,1,1,0.714535,0.690499,0.714535,0.741933,0.0162522,0.00558045,0.0206272,0.0542563,0.817226,0.813071,0.817226,0.817226,0.0871688,0.0861042,0.0871688,0.100821,-9999,-9999
20090109,-7.726,1,127.49,58.053,1,237.949,1,0.509,1,98.926,1,0.1,1,1.907,1,0.191666667,1,7.80925,1,132.3669167,1,64.42108333,1,10.71354167,1,277.07825,1,393.962,1,1.065,1,10.052,1,-9999,1,1.14025,-9999,-9999,-9999,-9999,0.571435,11.5289,-9999,-9999,-9999,-9999,3.92499,0.808635,1,0.110909,0.808302,0.817537,0.823829,1,1,1,0.727996,0.702883,0.727996,0.748566,-0.101814,-0.128789,-0.0957693,-0.0719213,0.728781,0.72649,0.728781,0.729263,0.0503924,0.049669,0.0503924,0.0566133,-9999,-9999
20090110,-8.445,1,128.577,75.821,1,212.408,1,0.341,1,99.26,1,0,1,2.462,1,0.164625,1,4.591416667,1,170.00775,1,87.07566667,1,14.980625,1,267.666375,1,395.642,1,1.018,1,9.982,1,-9999,1,2.022,-9999,-9999,-9999,-9999,0.693781,26.2705,-9999,-9999,-9999,-9999,5.07385,0.872277,1,0.116684,0.876469,0.879468,0.888551,1,1,1,0.712189,0.701851,0.715011,0.742367,-0.16141,-0.190209,-0.165314,-0.139957,0.580513,0.579925,0.580513,0.590741,0.0204203,0.0204203,0.0204203,0.023272,-9999,-9999
